"Date","Time","Lake_Level"
"2017-10-03","08:15",712.54
"2017-10-09","08:15",712.64
"2017-10-13","08:20",712.55
"2017-10-20","08:09",712.57
"2017-10-26","08:05",712.94
"2017-11-04","08:30",713.24
"2017-11-14","08:30",713.34
"2017-11-20","08:18",713.68
"2017-11-30","08:13",713.74
"2017-12-08","08:05",713.97
"2017-12-14","08:15",713.99
"2017-12-17","08:00",713.98
"2017-12-26","08:00",713.95
"2018-01-03","08:06",713.91
"2018-01-08","08:35",713.85
"2018-01-15","08:00",713.84
"2018-03-09","08:20",713.78
"2018-03-16","08:29",713.74
"2018-03-22","08:10",713.68
"2018-04-05","08:00",713.84
"2018-04-15","08:00",713.96
"2018-04-22","09:34",714.04
"2018-05-02","08:06",714.45
"2018-05-04","08:30",714.8
"2018-05-05","08:58",714.86
"2018-05-06","08:10",714.93
"2018-05-11","07:55",714.82
"2018-05-21","08:25",714.39
"2018-06-27","08:06",713.49
"2018-07-04","08:00",713.37
"2018-07-09","08:14",713.23
"2018-07-14","08:22",713.2
"2018-07-19","08:13",713.1
"2018-07-31","08:03",712.99
"2018-08-06","08:23",712.92
"2018-08-13","08:08",712.83
"2018-08-19","10:40",712.72
"2018-08-31","08:14",712.77
"2018-09-10","08:50",712.75
"2018-09-19","08:19",712.67
"2018-09-25","08:38",712.66
"2018-10-05","08:14",712.98
"2018-10-22","08:22",713.27
"2018-10-28","08:45",713.34
"2018-11-09","08:06",713.59
"2018-11-13",NA,713.72
"2018-11-19","08:30",713.74
"2018-11-28","08:00",713.76
"2018-12-04","08:35",713.82
"2018-12-11","08:33",713.82
"2018-12-18","08:11",713.8
"2019-01-08","08:17",713.95
"2019-01-17","08:29",713.89
"2019-01-22","08:21",713.86
"2019-01-31","08:51",713.9
"2019-02-14","09:36",713.97
"2019-02-21","08:41",713.96
"2019-02-28","08:05",714
"2019-03-12",NA,713.95
"2019-03-20",NA,714
"2019-03-26","08:20",714.06
"2019-04-02","08:31",714.17
"2019-04-09",NA,714.4
"2019-04-16","08:20",714.7
"2019-04-22","08:00",714.86
"2019-05-28","08:09",714.41
"2019-06-07","08:54",714.15
"2019-06-14",NA,714.15
"2019-06-25",NA,714.09
"2019-07-02","08:18",713.96
"2019-07-08","08:01",713.81
"2019-07-15","08:16",713.67
"2019-07-28","09:14",713.49
"2019-08-02","08:10",713.96
"2019-08-10","08:00",713.28
"2019-08-16","08:14",713.14
"2019-08-26","08:21",712.98
"2019-09-05",NA,712.91
"2019-09-10","08:46",712.93
"2019-09-17","09:11",712.92
"2019-09-24","08:32",713
"2019-10-01","08:29",713.06
"2019-10-08","08:37",713
"2019-10-27","08:30",713.43
"2019-11-02","09:58",713.58
"2019-11-13","08:29",713.68
"2019-11-20","08:51",713.64
"2019-11-26","08:30",713.72
"2019-12-03","09:37",714
"2020-01-04","08:33",714.32
"2020-01-14","08:35",714.31
"2020-01-22","08:19",714.26
"2020-01-28","08:16",714.18
"2020-02-04","08:06",714.13
"2020-02-13",NA,714.06
"2020-02-19","08:12",714
"2020-02-25","08:00",713.91
"2020-03-03","08:20",713.84
"2020-03-10","08:14",713.87
"2020-03-17","08:58",714
"2020-03-25","08:26",714.14
"2020-03-31","08:32",714.46
"2020-04-07","08:09",714.44
"2020-04-16","08:19",714.34
"2020-04-22","08:28",714.32
